systematic_name	cluster_id
YCR081C-A	L.R.L
YCR081W	R.L.L.L.L.L
YCR082W	L.R.L
YCR083W	L.R.L
YCR084C	R.L.L.R.L
YCR085W	R.L.L.R.L
YCR086W	R.L.R
YCR087C-A	R.R.R
YCR087W	R.L.L.R.L
YCR088W	R.L.R
YCR089W	R.L.L.R.L
YCR090C	R.R.L
YCR091W	R.L.R
YCR092C	R.L.L.R.L
YCR093W	R.L.L.L.R.L.L
YCR094W	R.R.L
YCR095C	L.R.L
YCR095W-A	L.R.R.L
YCR096C	L.L
YCR097W	L.R.L
YCR097W-A	R.L.L.R.L
YCR098C	R.L.L.R.L
YCR099C	L.R.L
YCR100C	R.L.L.R.L
YCR101C	L.R.L
YCR102C	L.R.L
YCR102W-A	L.L
YCR104W	L.L
YCR105W	L.L
YCR106W	R.L.L.L.L.L
YCR107W	R.R.R
YCR108C	R.L.L.R.L
YDL001W	R.L.L.R.L
YDL002C	R.L.L.R.L
YDL003W	R.R.R
YDL004W	R.L.L.L.L.L
YDL005C	L.R.L
YDL006W	L.R.L
YDL007C-A	R.L.L.R.L
YDL007W	R.L.L.R.L
YDL008W	L.R.L
YDL009C	L.R.L
YDL010W	L.L
YDL011C	L.R.L
YDL012C	R.L.L.R.L
YDL013W	L.L
YDL014W	R.R.R
YDL015C	R.L.L.L.L.L
YDL016C	R.L.L.R.L
YDL017W	L.R.L
YDL018C	R.L.L.L.L.L
YDL019C	L.R.R.L
YDL020C	L.R.L
YDL021W	L.R.L
YDL022C-A	L.R.L
YDL022W	R.L.L.L.R.L.L
YDL023C	R.L.L.R.L
YDL024C	L.R.L
YDL025C	L.R.R.L
YDL025W-A	R.L.L.R.L
YDL026W	L.L
YDL027C	R.L.R
YDL028C	R.L.L.R.L
YDL029W	R.L.L.L.L.L
YDL030W	R.L.L.R.R
YDL031W	R.R.R
YDL032W	L.R.L
YDL033C	R.L.R
YDL034W	L.L
YDL035C	L.L
YDL036C	R.R.R
YDL037C	L.L
YDL039C	L.L
YDL040C	R.R.L
YDL041W	R.L.L.R.L
YDL042C	R.L.L.R.L
YDL043C	R.L.R
YDL044C	R.L.L.L.L.L
YDL045C	R.L.R
YDL045W-A	R.L.L.R.L
YDL046W	R.L.R
YDL047W	L.R.L
YDL048C	L.R.R.L
YDL049C	L.R.L
YDL050C	R.L.L.R.L
YDL051W	R.R.R
YDL052C	R.L.L.R.L
YDL053C	R.L.L.R.L
YDL054C	R.L.R
YDL055C	R.L.L.R.L
YDL056W	L.R.L
YDL057W	L.R.L
YDL058W	R.L.L.R.L
YDL059C	L.L
YDL060W	R.R.R
YDL061C	R.L.L.R.L
YDL062W	R.L.L.R.L
YDL063C	R.R.R
YDL064W	R.L.R
YDL065C	L.R.L
YDL066W	R.L.L.L.L.L
YDL067C	R.L.L.R.L
YDL068W	R.L.L.R.L
YDL069C	L.R.L
YDL070W	L.R.L
YDL071C	L.L
YDL072C	L.R.L
YDL073W	R.L.L.L.L.R
YDL074C	R.L.L.L.L.L
YDL075W	R.L.L.L.L.L
YDL076C	R.L.R
YDL077C	L.R.L
YDL078C	R.L.L.R.L
YDL079C	R.L.R
YDL080C	R.R.R
YDL081C	R.L.L.R.L
YDL082W	R.R.L
YDL083C	R.L.L.L.L.L
YDL084W	R.L.L.L.L.L
YDL085C-A	R.L.L.R.L
YDL085W	R.L.L.R.L
YDL086C-A	R.L.L.R.L
YDL086W	R.L.L.R.L
YDL087C	L.R.R.L
YDL088C	R.L.L.R.L
YDL089W	L.L
YDL090C	L.R.L
YDL091C	L.R.L
YDL092W	R.L.L.R.L
YDL093W	L.L
YDL094C	L.R.L
YDL095W	R.L.L.R.L
YDL096C	L.R.L
YDL097C	R.L.L.R.L
YDL098C	R.L.L.R.R
YDL099W	L.R.L
YDL100C	R.L.L.R.L
YDL101C	L.R.L
YDL102W	R.L.L.R.L
YDL103C	R.R.L
YDL104C	R.L.L.L.L.L
YDL105W	R.L.L.R.L
YDL106C	L.R.R.L
YDL107W	R.L.R
YDL108W	L.R.L
YDL109C	L.R.L
YDL110C	L.R.L
YDL111C	R.L.R
YDL112W	R.R.R
YDL113C	L.R.R.L
YDL114W	L.L
YDL114W-A	R.L.L.R.L
YDL115C	L.R.L
YDL116W	R.L.R
YDL117W	R.L.L.R.L
YDL118W	R.L.L.R.L
YDL119C	R.L.R
YDL120W	R.L.L.R.R
YDL121C	R.R.L
YDL122W	R.L.L.R.R
YDL123W	L.L
YDL124W	L.R.R.L
YDL125C	R.L.L.L.L.L
YDL126C	R.L.L.R.L
YDL127W	R.L.L.R.R
YDL128W	R.L.R
YDL129W	L.L
YDL130W	R.L.L.L.L.L
YDL130W-A	R.L.L.R.L
YDL131W	R.R.R
YDL132W	L.R.L
YDL133C-A	R.L.L.R.L
YDL133W	L.L
YDL134C	R.L.L.R.L
YDL135C	R.L.L.R.L
YDL136W	R.L.L.R.L
YDL137W	R.L.L.R.L
YDL138W	L.R.L
YDL139C	R.L.L.R.R
YDL140C	L.R.L
YDL141W	R.L.R
YDL142C	R.L.L.L.R.L.L
YDL143W	R.L.L.R.L
YDL144C	R.L.R
YDL145C	R.L.L.L.L.L
YDL146W	L.L
YDL147W	R.L.L.R.L
YDL148C	R.R.R
YDL149W	R.L.R
YDL150W	R.R.R
YDL151C	R.L.L.R.L
YDL152W	R.L.L.R.L
YDL153C	R.R.R
YDL154W	R.L.L.R.L
YDL155W	R.L.L.R.L
YDL156W	R.L.L.R.L
YDL157C	R.L.L.R.R
YDL158C	R.R.L
YDL159C-B	L.R.L
YDL159W	L.R.L
YDL159W-A	L.R.L
YDL160C	L.R.R.L
YDL160C-A	R.L.L.L.L.L
YDL161W	R.L.L.R.L
YDL162C	L.R.L
YDL163W	R.L.L.R.L
YDL164C	L.L
YDL165W	R.L.R
YDL166C	R.R.R
YDL167C	R.R.R
YDL168W	R.L.L.R.L
YDL169C	L.R.R.R
YDL170W	R.L.L.L.L.L
YDL171C	R.L.L.L.L.R
YDL172C	R.L.L.R.L
YDL173W	L.R.L
YDL174C	R.L.L.L.R.L.L
YDL175C	L.L
YDL176W	R.L.L.R.L
YDL177C	L.R.L
YDL178W	R.L.R
